,2024,2023,2022,2021,2020,% Change 2024 - 2023,% Change 2024 - 2022 ,% Change 2024 - 2021,% Change 2024 - 2020
MURDER,35,38,45,45,31,-8%,-22%,-22%,13%
CRIM SEXUAL ASSLT,100,137,115,134,133,-27%,-13%,-25%,-25%
ROBBERY,578,577,585,416,494,0%,-1%,39%,17%
AGG BATTERY,375,335,324,304,324,12%,16%,23%,16%
BURGLARY,474,477,435,307,541,-1%,9%,54%,-12%
THEFT,856,991,849,511,619,-14%,1%,68%,38%
MTR VEHICLE THEFT,1606,2144,851,603,504,-25%,89%,166%,219%
TOTAL,4024,4699,3204,2320,2646,-14%,26%,73%,52%
