,2024,2023,2022,2021,2020,% Change 2024 - 2023,% Change 2024 - 2022,% Change 2024 - 2021,% Change 2024 - 2020
MURDER,34,34,41,44,20,0%,-17%,-23%,70%
CRIM SEXUAL ASSLT,92,85,64,90,85,8%,44%,2%,8%
ROBBERY,315,479,341,363,305,-34%,-8%,-13%,3%
AGG BATTERY,277,278,232,297,251,0%,19%,-7%,10%
BURGLARY,300,349,414,275,449,-14%,-28%,9%,-33%
THEFT,599,657,511,354,428,-9%,17%,69%,40%
MTR VEHICLE THEFT,1104,1854,683,513,398,-40%,62%,115%,177%
TOTAL,2721,3736,2286,1936,1936,-27%,19%,41%,41%
