,2024,2023,2022,2021,2020,% Change 2024 - 2023,% Change 2024 - 2022,% Change 2024 - 2021,% Change 2024 - 2020
MURDER,22,25,26,29,27,-12%,-15%,-24%,-19%
CRIM SEXUAL ASSLT,76,59,76,58,75,29%,0%,31%,1%
ROBBERY,371,356,307,321,421,4%,21%,16%,-12%
AGG BATTERY,272,242,254,245,307,12%,7%,11%,-11%
BURGLARY,132,125,142,126,240,6%,-7%,5%,-45%
THEFT,309,352,326,199,294,-12%,-5%,55%,5%
MTR VEHICLE THEFT,590,793,324,316,333,-26%,82%,87%,77%
TOTAL,1772,1952,1455,1294,1697,-9%,22%,37%,4%
