,2024,2023,2022,2021,2020,% Change 2024 - 2023,% Change 2024 - 2022,% Change 2024 - 2021,% Change 2024 - 2020
MURDER,16,14,13,6,9,14%,23%,167%,78%
CRIM SEXUAL ASSLT,140,125,128,109,123,12%,9%,28%,14%
ROBBERY,536,472,452,365,436,14%,19%,47%,23%
AGG BATTERY,271,249,220,134,221,9%,23%,102%,23%
BURGLARY,527,521,416,299,449,1%,27%,76%,17%
THEFT,1379,1576,1366,643,963,-12%,1%,114%,43%
MTR VEHICLE THEFT,1435,1522,887,480,421,-6%,62%,199%,241%
TOTAL,4304,4479,3482,2036,2622,-4%,24%,111%,64%
